model                                                  ,price   ,depreciation ,milleage ,registration_date ,coe_left ,no_of_owner ,omv    ,arf     ,power ,capacity ,accessories
MERCEDES BENZ A180 COMPACT SALOON PROGRESSIVE          , 158722 ,       16666 ,   17500 ,24-Aug-2022       ,     8.4 ,          1 , 31877 ,  36628 ,  960 ,    1332 ,Agent unit with warranty. Widescreen cockpit digital display. LED High Performance headlamps. Keyless entry. Reverse camera etc.
MITSUBISHI ECLIPSE CROSS 1.5 CVT SUNROOF               ,  78000 ,       14627 ,  155530 ,31-Jul-2018       ,     4.4 ,          2 , 26115 ,  28561 , 1200 ,    1499 ,"Leather seat, reverse camera, touchscreen infotainment system, Bluetooth connectivity & navigation, knockdown seats, auto tailgate and more!"
HYUNDAI ELANTRA AD 1.6 GLS AT (AMS)                    ,  59800 ,       12984 ,   50515 ,19-May-2018       ,     4.2 ,          2 , 11605 ,  11605 ,  938 ,    1591 ,"Leather seats, sport rim, factory touchscreen infotainment system w car play/blue tooth/reverse cam, rear aircon blower, retractable mirrors, fog light."
PORSCHE 911 TURBO S S-A                                , 998999 ,      107054 ,    4000 ,06-Oct-2021       ,     7.5 ,          1 ,228710 , 383678 , 4780 ,    3745 ,"Lightweight Carbon Roof, Park Assist Include Surround View, PCM, Bose System, 20"" Turbo S Exclusive Rim, CarPlay, Porsche Dynamic Light (PDLS Plus)."
AUDI A3 SPORTBACK 1.0 TFSI S TRONIC (LED)              , 115999 ,       16295 ,   30000 ,26-Aug-2020       ,     6.4 ,          1 , 21740 ,  22436 ,  850 ,     999 ,"Audi MMI, Keyless Entry/start, Bluetooth, Auto LED Headlights, Dynamic Tail Light, Paddle Shifter, Cruise Control, Knockdown Rear Seats, Reverse Cam"
AUDI A3 SEDAN 1.0 TFSI S TRONIC (LED)                  , 107999 ,       16779 ,   39000 ,23-Dec-2019       ,     5.8 ,          1 , 22090 ,  22926 ,  850 ,     999 ,"Audi MMI, keyless entry/start, Bluetooth, auto LED headlights, dynamic taillight, paddle shifter, cruise control, knockdown rear seats."
AUDI A3 SEDAN 1.0 TFSI S TRONIC (LED)                  , 103999 ,       16540 ,   65000 ,25-Oct-2019       ,     5.6 ,          1 , 22090 ,  22926 ,  850 ,     999 ,"Keyless Entry/start, Auto Headlights, Paddle Shifters, Reverse Sensor"
HONDA VEZEL 1.5X CVT                                   ,  80800 ,       15610 ,  119111 ,19-Dec-2018       ,     4.7 ,          1 , 22529 ,  13541 ,  960 ,    1496 ,"Sport rim, black leather seat, audio system, eco mode, Honda sensing, reverse sensors and camera, retractable side mirrors, knockdown rear seats."
MERCEDES BENZ AMG GT R (R19/R20 LED)                   , 618000 ,       86835 ,   20000 ,18-Apr-2019       ,     5.1 ,          2 ,212933 , 355280 , 4300 ,    3982 ,"Keyless entry start/stop, AMG sports exhaust, Burmester sound system, AMG bucket seat, navigation, carbon roof, Full car PPF"
MITSUBISHI LANCER 2.0L MIVEC GT 5M/T ABS D/AB HID      ,  62800 ,       12856 ,  168188 ,09-Feb-2009       ,     4.9 ,          5 , 19846 ,  19846 , 1140 ,    1998 ,Upgraded Carbon Fiber Steering Wheel. Upgraded Android Player. Sporty Bracket Seat. Upgraded Sport Rim. Keyless Entry & Start/Stop.
