model                                                  ,price   ,depreciation ,milleage ,registration_date ,coe_left ,no_of_owner ,omv    ,arf     ,power ,capacity ,accessories
MERCEDES BENZ C180 AVANTGARDE (R17 LED)                ,  69800 ,       22636 ,   69000 ,01-Jul-2016       ,     2.3 ,          2 , 35465 ,  36651 , 1150 ,    1595 ,"Front electric seats, factory audio with Bluetooth, electric tailgate, ambient lighting, reverse camera/sensor, rear aircon, multi function steering."
PEUGEOT 308 SW ALLURE PURETECH 1.2 A/T 2WD             ,  56800 ,       14435 ,   66000 ,12-Oct-2017       ,     3.6 ,          2 , 20721 ,  11010 ,  960 ,    1199 ,"Sports rims, factory audio system with Bluetooth/navigation, smart touch control panel, steering controls, blind spot monitoring."
KIA CERATO K3 1.6A SUNROOF                             ,  59800 ,       14465 ,   74000 ,27-Oct-2017       ,     3.6 ,          1 , 15611 ,  15611 ,  953 ,    1591 ,"Sunroof, premium rims, ventilated/electric seats, factory fitted audio with Bluetooth, reverse camera/sensor, auto foldable side mirrors, rear aircon."
NISSAN QASHQAI 1.2 DIG-T CVT ABS 2WD 5DR               ,  52800 ,       14244 ,   93585 ,16-Jun-2017       ,     3.2 ,          1 , 18583 ,  13583 ,  850 ,    1197 ,"Sport rims, leather seat, Android audio system, steering wheel control, electric park brake, reverse camera and sensors, retractable side mirrors."
BMW 520I LED NAV                                       , 109000 ,       20581 ,  114000 ,28-Feb-2018       ,     3.9 ,          1 , 45675 ,  55945 , 1350 ,    1998 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Knockdown Rear Seats"
VOLVO V40 T4 M                                         ,  92800 ,       16195 ,   74352 ,19-Mar-2019       ,     5.0 ,          1 , 22799 ,  23919 , 1400 ,    1969 ,"Keyless entry and start, Bluetooth, digital speedometer, 3 memory settings for driver."
TOYOTA HARRIER PREMIUM 2.0 A                           ,  70800 ,       27330 ,   82305 ,15-Apr-2016       ,     2.1 ,          1 , 29881 ,  28834 , 1110 ,    1986 ,"18"" alloy rims, electrical retractable side mirrors, digital multi zone aircon with rear aircon, driver's electric seat, multi function steering."
TOYOTA WISH 1.8 CVT                                    ,  66800 ,       16280 ,   88256 ,19-Sep-2017       ,     3.5 ,          1 , 19955 ,  19955 , 1050 ,    1798 ,"Sports rims,leather seats,factory fitted audio, Bluetooth/reverse cam w sensors,keyless entry,auto HID headlights,retractable side mirrors, fog lights."
HONDA JAZZ 1.5 CVT                                     ,  71800 ,       12347 ,   54855 ,09-May-2019       ,     5.1 ,          1 , 16946 ,  16946 ,  960 ,    1498 ,"Factory touchscreen audio, Bluetooth/AUX, reverse camera/sensor, leather interior, multi-function steering wheel, spacious interior and boot."
HONDA CIVIC 1.6 VTI CVT                                ,  73000 ,       15169 ,  119711 ,22-May-2018       ,     4.2 ,          2 , 19662 ,  19662 ,  920 ,    1597 ,"Factory fitted infotainment system, Triple Akrapovic center-exit exhaust system, 6-piston Brembo brakes, BBS Rims, Michelin PS5 tyres Upgraded body kit and more!"
HONDA GRACE 1.5DX HYBRID A                             ,  73800 ,       15417 ,   92000 ,07-Sep-2018       ,     4.5 ,          1 , 19985 ,   9985 , 1010 ,    1496 ,Keyless entry keyless start stop. Reverse camera. Sports rim.
INFINITI Q50 2.0T SENSORY PA MY19                      , 127800 ,       16143 ,   47200 ,27-Nov-2020       ,     6.7 ,          1 , 34122 ,  39771 , 1550 ,    1991 ,"Sunroof. Factory navigation/BT/info/audio system, reverse camera, leather seats, 18"" sports rims, electric ventilated front seats, tinted films."
MERCEDES BENZ E 250 COUPE                              , 127800 ,       16612 ,   73500 ,28-Mar-2012       ,     7.7 ,          2 , 58611 ,  58611 , 1500 ,    1796 ,"Factory Bluetooth/audio system. Reverse camera, red leather seats, 18"" AMG rims, electric memory ventilated seats. All round sensors, auto rear blinds"
MERCEDES BENZ GLC300 4MATIC                            , 318000 ,       30728 ,    4800 ,29-May-2023       ,     9.2 ,          1 , 52339 ,  71445 , 2000 ,    1991 ,"Auto Head Lights, Multi-function Steering Wheel, Keyless Engine Start, Driver's and Passenger Electric Seat with Memory, Electric Tailgate"
VOLKSWAGEN PASSAT B8 1.8 TFSI AT 3G24JZ                ,  87000 ,       14836 ,  109000 ,30-Nov-2018       ,     4.7 ,          2 , 30535 ,  34749 , 1320 ,    1798 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat"
HONDA VEZEL 1.5X A                                     ,  40500 ,       15515 ,   91000 ,23-Jun-2016       ,     2.2 ,          3 , 20861 ,  11206 ,  960 ,    1496 ,"Leather seats, sports rims, auto folding side mirror, auto headlight, knockdown rear seats. Reverse camera and sensors."
LEXUS NX300H 5DR SUV (A) (4WD) LUXURY MR               , 170800 ,       24109 ,   22555 ,27-Nov-2019       ,     5.7 ,          1 , 53121 ,  67618 , 1470 ,    2494 ,"Ventilated Seats, Sports Rims, Audio System, Bluetooth, Electric Memory seats, Navigation System, Electric Tailgate"
BMW 520I EXECUTIVE EDITION 48V ADPT LED HL             , 248800 ,       23764 ,    3906 ,24-Mar-2023       ,     9.0 ,          1 , 51357 ,  69579 , 1372 ,    1998 ,"Dual zone aircon. Ambient lighting. 12.3"" control and instrument display. Parking assist. Comfort access, electric seats, m aerodynamics package."
BMW 520I LED NAV                                       , 149800 ,       22422 ,   81000 ,14-Jun-2019       ,     5.2 ,          1 , 51768 ,  65183 , 1350 ,    1998 ,"Soft close, BMW touch command, GPS, Bluetooth, connected drive, 360 camera, gearshift paddles, mobile phone wireless charging."
MERCEDES BENZ A200 FL STYLE (R17 HLG)                  ,  69000 ,       19661 ,   49000 ,10-Mar-2017       ,     3.0 ,          1 , 24675 ,  21545 , 1150 ,    1595 ,"Original sports rims, original factory fitted audio system, Bluetooth interface, multi function steering, auto headlights & reverse camera/sensor."
BENTLEY CONTINENTAL FLYING SPUR 6.0 A                  , 248000 ,       27556 ,   88000 ,22-Mar-2013       ,     9.0 ,          4 ,183273 , 183273 , 4120 ,    5998 ,"Auto Head Lights, Multi-function Steering Wheel, Keyless Entry and Keyless Engine Start, Driver's Electric Seat"
PORSCHE MACAN PDK CYP E6                               , 154000 ,       33738 ,   96000 ,29-Jun-2017       ,     3.3 ,          2 , 64246 ,  87643 , 1850 ,    1984 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat"
HONDA STEPWAGON SPADA E:HEV 7 SEATER                   , 186800 ,       17410 ,      80 ,13-Mar-2024       ,    10.0 ,          1 , 27978 ,  26170 , 2420 ,    1993 ,-
KIA NIRO HYBRID 1.6 GDI DCT SUNROOF                    ,  53800 ,       15682 ,       1 ,30-Jun-2017       ,     3.3 ,          1 , 27383 ,   5000 , 1036 ,    1580 ,-
HONDA STEPWAGON SPADA 7-SEATER 1.5 CVT                 , 143800 ,       19281 ,   30000 ,01-Oct-2020       ,     6.5 ,          1 , 31314 ,  35840 , 1100 ,    1496 ,-
BMW 218I COUPE LED NAV SR                              , 120999 ,       17793 ,   35500 ,29-Nov-2019       ,     5.7 ,          2 , 33930 ,  39502 , 1000 ,    1499 ,"LED headlights. Dual zone climate control. Factory fitted audio system, reverse cam. Sunroof. Sports rims."
VOLKSWAGEN GOLF 1.4 TSI HL RL                          , 103999 ,       13335 ,   51000 ,28-Dec-2020       ,     6.8 ,          1 , 25373 ,  27523 ,  920 ,    1395 ,"17"" Rims, Keyless Entry/start, Front And Rear Sensors, Auto Rain Sensors, Dual Climatic Aircon With Rear Aircon, Electric Handbrake With Auto Hold."
SEAT ATECA 1.4 TSI 150 XCELLENCE 7AT 2WD               , 109000 ,       18931 ,  101000 ,15-Mar-2019       ,     5.0 ,          1 , 26799 ,  29519 , 1100 ,    1395 ,"Sports Rims, Leather Seats, CD Changer/Player, Reverse Sensors, Fog Lamp, Push Start, Paddle Shift, Electric Seat, Power Tailgate, Cruise Control."
BMW 318I SEDAN LED                                     ,  51800 ,       16519 ,  155555 ,04-Aug-2016       ,     2.4 ,          1 , 27426 ,  25397 , 1000 ,    1499 ,"Keyless entry/start/stop, LED headlights, 17"" light alloy rims, multi-function drive mode, electric memory seat, Bluetooth, navigation, ambient light."
VOLKSWAGEN JETTA GP 1.4 TSI 90 A/T TL 1632G5           ,  46800 ,       18103 ,   99263 ,29-Apr-2016       ,     2.1 ,          1 , 17516 ,  17516 ,  900 ,    1390 ,"Factory fitted leather seats, audio system w/reverse cam, dashcam included. Rare low mileage 1 owner unit, view to witness it!"
VOLKSWAGEN JETTA GP 1.4 TSI 90 A/T HL HID 1634G5       ,  51800 ,       14039 ,   96898 ,28-Feb-2017       ,     2.9 ,          3 , 20867 ,  21214 ,  900 ,    1390 ,Driver Electric Seat. Keyless Entry & Start/Stop. Rear Aircon. Upgraded Pioneer Player With Reverse Camera & Sensor. LED Headlight n Daytime Running.
NISSAN SYLPHY 1.6 CVT ABS D/AIRBAG 2WD 4DR             ,  18800 ,       15210 ,  166695 ,12-Feb-2015       ,     0.9 ,          2 , 15430 ,  10430 ,  850 ,    1598 ,"Sports rim, leather seats, audio system with Bluetooth, rear aircon blower, remote boot release, digital air con control, reverse sensors and camera."
MITSUBISHI LANCER 1.6 M                                ,  35800 ,       12032 ,  138000 ,15-Mar-2007       ,     3.0 ,          1 , 10998 ,  12098 ,  790 ,    1584 ,Original Factory Ralliart Art Leather Seat And Etc
KIA FORTE K3 1.6A                                      ,  48800 ,       13831 ,  131463 ,09-Feb-2017       ,     2.9 ,          1 , 17796 ,  17796 ,  953 ,    1591 ,"Multi-function steering, leather seats, KIA factory fitted infotainment system, rear sensors, reverse camera, auto retractable side mirrors and more!"
BMW X3 SDRIVE 20I HID NAV                              ,  58800 ,       21246 ,  120000 ,26-Feb-2016       ,     1.9 ,          2 , 31174 ,  35644 , 1350 ,    1997 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat, Electric Tailgate"
TOYOTA COROLLA ALTIS ELEGANCE AUTO                     ,  72800 ,       15044 ,   65000 ,27-Apr-2018       ,     4.1 ,          1 , 21690 ,  22366 ,  960 ,    1598 ,"Factory Fitted Infotainment System, Bluetooth, Leather Interior, Multi Function Steering, Retractable Side Mirrors, Reverse Camera And Parking Sensor."
CITROEN C5 AIRCROSS 1.6L SHINE                         , 130000 ,       16373 ,   28000 ,16-Apr-2021       ,     7.1 ,          1 , 26099 ,  28539 , 1330 ,    1598 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat"
LEXUS ES250 LUXURY A/T S/R                             ,  93000 ,       22793 ,   96000 ,24-Mar-2017       ,     3.0 ,          1 , 40888 ,  49244 , 1350 ,    2494 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat"
HYUNDAI AD AVANTE 1.6 GLS (A) S                        ,  77800 ,       13979 ,   22000 ,08-Apr-2019       ,     5.0 ,          1 , 14582 ,  14582 ,  938 ,    1591 ,"Driver electric seat, sports rims, factory audio system/BT/rev cam/sensor, apple c/p, Android Auto, rear aircon, drive mode select, ventilated seats."
MERCEDES BENZ E 250                                    , 102800 ,       13507 ,  147130 ,19-Dec-2011       ,     7.6 ,          6 , 53979 ,  53979 , 1500 ,    1796 ,"Factory fitted Mercedes-Benz audio system, upgraded MBUX infotainment system, leather seats, keyless entry & ignition and more!"
MERCEDES BENZ C180 AVG (R17 LED)                       , 138000 ,       22787 ,   27000 ,06-May-2019       ,     5.1 ,          1 , 36172 ,  42641 , 1150 ,    1595 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat"
BMW 530I LED NAV HUD MSPT                              , 132000 ,       22784 ,  100454 ,10-Apr-2018       ,     4.0 ,          3 , 59713 ,  79484 , 1850 ,    1998 ,"Multi function steering, paddle shifters, leather seats, electric tailgate, infotainment system, Bluetooth connectivity, driver power seats and more!"
MAZDA 6 SEDAN 2.0 AT EXECUTIVE EU6                     ,  68000 ,       15224 ,   60719 ,29-Nov-2017       ,     3.7 ,          2 , 22657 ,  23720 , 1210 ,    1998 ,"19"" BBS rims, 6 pot AP Racing Radical II bbk, CF Steering Wheel, Apple Carplay, TPMS, reverse camera, Bluetooth, parking sensor, keyless entry."
AUDI A8L 4.2 FSI QU (PSR+LED)                          ,  80000 ,       11798 ,  166500 ,21-Jan-2011       ,     6.8 ,          2 , 99738 ,  99738 , 2730 ,    4163 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat, Electric Tailgate"
MITSUBISHI ATTRAGE 1.2 CVT                             ,  67800 ,       12235 ,   30250 ,24-Jul-2019       ,     5.3 ,          1 , 13894 ,   5000 ,  590 ,    1193 ,"Sports rims 15"", leather seats, reverse sensors and camera, keyless entry/start, retractable side mirror, knockdown rear seat. Multi control steering."
BMW 420I GRAN COUPE LED NAV                            , 139800 ,       21219 ,   60888 ,29-Jul-2019       ,     5.3 ,          1 , 43149 ,  52409 , 1350 ,    1998 ,"Comfort access, navigation, LED headlight, sensing wipers. Electric seat. Reverse camera. Auto folding side mirror. Multi function steering."
MERCEDES BENZ CLA200 PROGRESSIVE (R18 LED)             , 157366 ,       20883 ,   92000 ,29-Sep-2020       ,     6.5 ,          1 , 35918 ,  42286 , 1200 ,    1332 ,"Keyless go, reverse camera, digital instrument panel, ambient lighting, BT, dynamic select, electric seats, cruise control."
MERCEDES BENZ A180 (R17)                               , 101800 ,       10180 ,  129012 ,01-Aug-2014       ,     0.4 ,          3 , 22897 ,  14056 ,  900 ,    1595 ,"DRL, auto head lights, electric side mirrors, auto wipers, adjustable memory seats, multi function steering wheel, keyless entry, paddle shifter"
NISSAN X-TRAIL 2.0 CVT ABS 4WD S/R 7-STR               ,  60800 ,       15011 ,  106800 ,25-May-2017       ,     3.2 ,          3 , 24596 ,  26435 , 1060 ,    1997 ,"Sunroof, factory navi/bt/DVD/audio system. 360 degree camera, leather seats, 18"" sports rims, auto headlamps/DRL, front fog lamp, auto tailgate."
TOYOTA C-HR 1.2 TURBO ACTIVE (AUTO)                    ,  75800 ,       15398 ,   58823 ,29-Mar-2018       ,     4.0 ,          1 , 25647 ,  27906 ,  850 ,    1197 ,"Sport rims, leather upholstery, park assist, reverse camera, retractable side mirror, dual zone climate aircon and fog light, multi-function steering."
AUDI A3 SEDAN 1.4 TFSI (AMBIENTE)                      ,  38800 ,       16025 ,  115011 ,31-Dec-2015       ,     1.8 ,          3 , 27642 ,  20699 ,  920 ,    1395 ,Paddle shifters. Original leather interior. Park assist. Climatic aircon with rear vents. LED HID headlights. Bluetooth connect.
HONDA CITY 1.5 SV-SIN I-VTEC CVT                       , 115800 ,       14846 ,   25011 ,31-May-2021       ,     7.2 ,          1 , 18150 ,  18150 ,  890 ,    1498 ,"DRL, auto head light, electric folding side mirrors, multi function steering wheel, keyless entry, rear aircon, hill start assist, wired Apple CarPlay"
HONDA JAZZ 1.5 CVT                                     ,  73800 ,       14603 ,   65239 ,12-Sep-2018       ,     4.5 ,          1 , 16850 ,  16850 ,  960 ,    1498 ,"Auto head lights, electric folding side mirrors, keyless entry/start/stop, knockdown rear seats, touch screen audio system with Bluetooth & navigation"
AUDI A3 SEDAN 1.0 TFSI S TRONIC (LED)                  ,  77800 ,       15843 ,   68312 ,18-Apr-2018       ,     4.1 ,          1 , 24712 ,  26597 ,  850 ,     999 ,"DRL, auto head lights, electric side mirrors, multi-function steering wheel, paddle shifters, driver's electric seat, Audi drive select, keyless entry"
TOYOTA PRIUS PLUS (AUTO)                               ,  95800 ,       18348 ,   73000 ,16-Oct-2018       ,     4.6 ,          1 , 30006 ,  24009 , 1000 ,    1798 ,"Premium Leather Seats, Reverse Camera And Sensors, Bluetooth, Multi Function Steering Wheel, Knockdown Rear Seats, Digital Climatic Control."
MAZDA 3 HATCHBACK 1.5 AT STANDARD EU6                  ,  74800 ,       13978 ,   80142 ,28-Dec-2018       ,     4.8 ,          1 , 16257 ,  16257 ,  880 ,    1496 ,"Sunroof, knockdown rear seats, leather upholstery, multi function steering controls, retractable side mirrors."
MITSUBISHI ATTRAGE 1.2 CVT                             ,  46800 ,       11075 ,   39345 ,23-Mar-2018       ,     4.0 ,          1 , 14015 ,   5000 ,  590 ,    1193 ,"Original sports rims, retractable side mirrors. Original factory fitted head unit, leather upholstery, fog lights reverse sensor and camera, dashcam."
